,geometry,color,mw,plantName,year
1113,"5681     POLYGON ((295377.606 4139937.730, 295346.864 4...
5682     POLYGON ((295377.606 4139937.730, 295346.864 4...
26156    POLYGON ((295377.606 4139937.730, 295346.864 4...
26157    POLYGON ((295377.606 4139937.730, 295346.864 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6384302.318,Chesterfield-BIT,2014
302,"7527    POLYGON ((176183.711 4086749.144, 176152.987 4...
7528    POLYGON ((176183.711 4086749.144, 176152.987 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6380515.0,Clover-BIT,2005
79,"7527    POLYGON ((176103.581 4086749.144, 176073.243 4...
7528    POLYGON ((176103.581 4086749.144, 176073.243 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6300385.0,Clover-BIT,2002
1312,"5681     POLYGON ((295255.164 4139937.730, 295225.011 4...
5682     POLYGON ((295255.164 4139937.730, 295225.011 4...
26156    POLYGON ((295255.164 4139937.730, 295225.011 4...
26157    POLYGON ((295255.164 4139937.730, 295225.011 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6261860.195,Chesterfield-BIT,2016
743,"7527    POLYGON ((175991.291 4086749.144, 175961.493 4...
7528    POLYGON ((175991.291 4086749.144, 175961.493 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6188095.168,Clover-BIT,2010
1454,"13021    POLYGON ((208589.943 4196416.336, 208560.865 4...
13022    POLYGON ((208589.943 4196416.336, 208560.865 4...
13023    POLYGON ((208589.943 4196416.336, 208560.865 4...
13024    POLYGON ((208589.943 4196416.336, 208560.865 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",6038534.0,Tenaska Virginia Generating Station-NG,2017
1016,"5681     POLYGON ((294945.351 4139937.730, 294916.690 4...
5682     POLYGON ((294945.351 4139937.730, 294916.690 4...
26156    POLYGON ((294945.351 4139937.730, 294916.690 4...
26157    POLYGON ((294945.351 4139937.730, 294916.690 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5952047.614,Chesterfield-BIT,2013
1033,"7527    POLYGON ((175718.547 4086749.144, 175690.063 4...
7528    POLYGON ((175718.547 4086749.144, 175690.063 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5915350.987000001,Clover-BIT,2013
1400,"17290    POLYGON ((263657.307 4072238.822, 263628.919 4...
17291    POLYGON ((263657.307 4072238.822, 263628.919 4...
17292    POLYGON ((263657.307 4072238.822, 263628.919 4...
17293    POLYGON ((263657.307 4072238.822, 263628.919 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",5895472.0,Brunswick County Power Station-NG,2016
556,"7527    POLYGON ((175607.803 4086749.144, 175579.853 4...
7528    POLYGON ((175607.803 4086749.144, 175579.853 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5804607.7020000005,Clover-BIT,2008
1559,"13021    POLYGON ((208323.159 4196416.336, 208295.366 4...
13022    POLYGON ((208323.159 4196416.336, 208295.366 4...
13023    POLYGON ((208323.159 4196416.336, 208295.366 4...
13024    POLYGON ((208323.159 4196416.336, 208295.366 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",5771750.0,Tenaska Virginia Generating Station-NG,2018
1130,"7527    POLYGON ((175475.743 4086749.144, 175448.428 4...
7528    POLYGON ((175475.743 4086749.144, 175448.428 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5672547.262999999,Clover-BIT,2014
649,"7527    POLYGON ((175384.599 4086749.144, 175357.723 4...
7528    POLYGON ((175384.599 4086749.144, 175357.723 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5581403.631,Clover-BIT,2009
1228,"7527    POLYGON ((175280.962 4086749.144, 175254.585 4...
7528    POLYGON ((175280.962 4086749.144, 175254.585 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5477766.683999999,Clover-BIT,2015
1329,"7527    POLYGON ((175240.182 4086749.144, 175214.002 4...
7528    POLYGON ((175240.182 4086749.144, 175214.002 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5436986.481000001,Clover-BIT,2016
954,"13021    POLYGON ((207900.592 4196416.336, 207874.834 4...
13022    POLYGON ((207900.592 4196416.336, 207874.834 4...
13023    POLYGON ((207900.592 4196416.336, 207874.834 4...
13024    POLYGON ((207900.592 4196416.336, 207874.834 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",5349183.0,Tenaska Virginia Generating Station-NG,2012
821,"5681     POLYGON ((294322.131 4139937.730, 294296.472 4...
5682     POLYGON ((294322.131 4139937.730, 294296.472 4...
26156    POLYGON ((294322.131 4139937.730, 294296.472 4...
26157    POLYGON ((294322.131 4139937.730, 294296.472 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5328827.796,Chesterfield-BIT,2011
1349,"13021    POLYGON ((207758.613 4196416.336, 207733.539 4...
13022    POLYGON ((207758.613 4196416.336, 207733.539 4...
13023    POLYGON ((207758.613 4196416.336, 207733.539 4...
13024    POLYGON ((207758.613 4196416.336, 207733.539 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",5207204.0,Tenaska Virginia Generating Station-NG,2016
838,"7527    POLYGON ((174972.516 4086749.144, 174947.624 4...
7528    POLYGON ((174972.516 4086749.144, 174947.624 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",5169320.468,Clover-BIT,2011
1247,"13021    POLYGON ((207551.312 4196416.336, 207527.236 4...
13022    POLYGON ((207551.312 4196416.336, 207527.236 4...
13023    POLYGON ((207551.312 4196416.336, 207527.236 4...
13024    POLYGON ((207551.312 4196416.336, 207527.236 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4999903.357,Tenaska Virginia Generating Station-NG,2015
1564,"18289    POLYGON ((284657.373 4326301.966, 284633.931 4...
18290    POLYGON ((284657.373 4326301.966, 284633.931 4...
18291    POLYGON ((284657.373 4326301.966, 284633.931 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",4868251.0,Stonewall-NG,2018
