plant_code,state,fuels
1393,LA,"['PC', 'SUB', 'NG']"
1394,LA,"[nan, 'RFO', 'DFO', 'NG']"
1396,LA,['NG']
1400,LA,"['DFO', nan, 'NG']"
1401,LA,"['DFO', 'NG']"
1402,LA,"['DFO', 'NG']"
1403,LA,"['DFO', nan, 'RFO', 'NG']"
1404,LA,"['DFO', 'NG']"
1407,LA,"['DFO', nan, 'RFO', 'NG']"
1409,LA,"[nan, 'RFO', 'NG']"
1416,LA,['NG']
1417,LA,['NG']
1435,LA,['NG']
1439,LA,"[nan, 'DFO', 'NG']"
1443,LA,['NG']
1445,LA,['NG']
1448,LA,"['DFO', 'NG']"
1449,LA,['NG']
1453,LA,"['DFO', 'NG']"
1455,LA,['NG']
1456,LA,['DFO']
1464,LA,['NG']
1466,ME,['DFO']
1468,ME,['DFO']
1469,ME,['WAT']
1472,ME,['WAT']
1474,ME,['DFO']
1475,ME,['WAT']
1478,ME,['WAT']
1480,ME,['WAT']
1481,ME,['WAT']
1482,ME,['WAT']
1483,ME,['WAT']
1484,ME,['DFO']
1486,ME,['WAT']
1487,ME,['WAT']
1488,ME,['WAT']
1490,ME,['WAT']
1491,ME,['WAT']
1492,ME,['WAT']
1493,ME,['WAT']
1497,ME,['WAT']
1498,ME,['WAT']
1500,ME,['WAT']
1501,ME,['WAT']
1504,ME,['WAT']
1505,ME,['WAT']
1507,ME,"['MWH', 'RFO']"
1508,ME,['WAT']
1509,ME,['WAT']
1510,ME,['WAT']
1511,ME,['WAT']
1513,ME,"['DFO', 'RFO', 'WAT']"
1514,ME,['DFO']
1516,ME,['WAT']
1553,MD,['NG']
1554,MD,"[nan, 'BIT', 'NG', 'DFO', 'RFO', 'RC']"
1555,MD,['NG']
1556,MD,"['DFO', nan, 'NG']"
1557,MD,['DFO']
1559,MD,"['DFO', nan, 'KER', 'NG']"
1560,MD,['NG']
1563,MD,['DFO']
1564,MD,"['DFO', nan, 'RFO']"
1567,MD,['WAT']
1570,MD,"['DFO', 'BIT']"
1571,MD,"['DFO', 'BIT', nan, 'NG']"
1572,MD,"['DFO', 'BIT', nan, 'NG']"
1573,MD,"['DFO', 'BIT']"
1574,MD,['WAT']
1580,MD,"['DFO', nan, 'NG']"
1585,MA,['DFO']
1586,MA,['DFO']
1587,MA,['DFO']
